"y"	"age"	"job"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"contact"	"day"	"month"	"duration"	"campaign"	"pdays"	"previous"	"poutcome"
0	58	"management"	"married"	"tertiary"	0	2143	1	0	"unknown"	5	"may"	261	1	-1	0	"unknown"
0	44	"technician"	"single"	"secondary"	0	29	1	0	"unknown"	5	"may"	151	1	-1	0	"unknown"
0	33	"entrepreneur"	"married"	"secondary"	0	2	1	1	"unknown"	5	"may"	76	1	-1	0	"unknown"
0	47	"blue-collar"	"married"	"unknown"	0	1506	1	0	"unknown"	5	"may"	92	1	-1	0	"unknown"
0	33	"unknown"	"single"	"unknown"	0	1	0	0	"unknown"	5	"may"	198	1	-1	0	"unknown"
0	35	"management"	"married"	"tertiary"	0	231	1	0	"unknown"	5	"may"	139	1	-1	0	"unknown"
0	28	"management"	"single"	"tertiary"	0	447	1	1	"unknown"	5	"may"	217	1	-1	0	"unknown"
0	42	"entrepreneur"	"divorced"	"tertiary"	1	2	1	0	"unknown"	5	"may"	380	1	-1	0	"unknown"
0	58	"retired"	"married"	"primary"	0	121	1	0	"unknown"	5	"may"	50	1	-1	0	"unknown"
0	43	"technician"	"single"	"secondary"	0	593	1	0	"unknown"	5	"may"	55	1	-1	0	"unknown"
0	41	"admin."	"divorced"	"secondary"	0	270	1	0	"unknown"	5	"may"	222	1	-1	0	"unknown"
0	29	"admin."	"single"	"secondary"	0	390	1	0	"unknown"	5	"may"	137	1	-1	0	"unknown"
0	53	"technician"	"married"	"secondary"	0	6	1	0	"unknown"	5	"may"	517	1	-1	0	"unknown"
0	58	"technician"	"married"	"unknown"	0	71	1	0	"unknown"	5	"may"	71	1	-1	0	"unknown"
0	57	"services"	"married"	"secondary"	0	162	1	0	"unknown"	5	"may"	174	1	-1	0	"unknown"
0	51	"retired"	"married"	"primary"	0	229	1	0	"unknown"	5	"may"	353	1	-1	0	"unknown"
0	45	"admin."	"single"	"unknown"	0	13	1	0	"unknown"	5	"may"	98	1	-1	0	"unknown"
0	57	"blue-collar"	"married"	"primary"	0	52	1	0	"unknown"	5	"may"	38	1	-1	0	"unknown"
0	60	"retired"	"married"	"primary"	0	60	1	0	"unknown"	5	"may"	219	1	-1	0	"unknown"
0	33	"services"	"married"	"secondary"	0	0	1	0	"unknown"	5	"may"	54	1	-1	0	"unknown"
0	28	"blue-collar"	"married"	"secondary"	0	723	1	1	"unknown"	5	"may"	262	1	-1	0	"unknown"
0	56	"management"	"married"	"tertiary"	0	779	1	0	"unknown"	5	"may"	164	1	-1	0	"unknown"
0	32	"blue-collar"	"single"	"primary"	0	23	1	1	"unknown"	5	"may"	160	1	-1	0	"unknown"
0	25	"services"	"married"	"secondary"	0	50	1	0	"unknown"	5	"may"	342	1	-1	0	"unknown"
0	40	"retired"	"married"	"primary"	0	0	1	1	"unknown"	5	"may"	181	1	-1	0	"unknown"
0	44	"admin."	"married"	"secondary"	0	-372	1	0	"unknown"	5	"may"	172	1	-1	0	"unknown"
0	39	"management"	"single"	"tertiary"	0	255	1	0	"unknown"	5	"may"	296	1	-1	0	"unknown"
0	52	"entrepreneur"	"married"	"secondary"	0	113	1	1	"unknown"	5	"may"	127	1	-1	0	"unknown"
0	46	"management"	"single"	"secondary"	0	-246	1	0	"unknown"	5	"may"	255	2	-1	0	"unknown"
