"hitter's name"
"Alan Ashby"
"Alvin Davis"
"Andre Dawson"
"Andres Galarraga"
"Alfredo Griffin"
"Al Newman"
"Argenis Salazar"
"Andres Thomas"
"Andre Thornton"
"Alan Trammell"
"Alex Trevino"
"Andy Van Slyke"
"Alan Wiggins"
"Bill Almon"
"Buddy Bell"
"Buddy Biancalana"
"Bruce Bochy"
"Barry Bonds"
"Bobby Bonilla"
"Bob Brenly"
"Bill Buckner"
"Brett Butler"
"Bob Dernier"
"Bo Diaz"
"Bill Doran"
"Brian Downing"
"Billy Hatcher"
"Brook Jacoby"
"Bob Kearney"
"Bill Madlock"
"Bob Melvin"
"Billy Jo Robidoux"
"Bill Schroeder"
"Chris Bando"
"Chris Brown"
"Carmen Castillo"
"Chili Davis"
"Carlton Fisk"
"Curt Ford"
"Carney Lansford"
"Chet Lemon"
"Candy Maldonado"
"Carmelo Martinez"
"Craig Reynolds"
"Cal Ripken"
"Cory Snyder"
"Chris Speier"
"Curt Wilkerson"
"Dave Anderson"
"Don Baylor"
"Daryl Boston"
"Darnell Coles"
"Dave Concepcion"
"Doug DeCinces"
"Darrell Evans"
"Dwight Evans"
"Damaso Garcia"
"Dan Gladden"
"Dave Henderson"
"Donnie Hill"
"Davey Lopes"
"Don Mattingly"
"Dale Murphy"
"Dwayne Murphy"
"Dave Parker"
"Dan Pasqua"
"Darrell Porter"
"Dick Schofield"
"Don Slaught"
"Darryl Strawberry"
"Dale Sveum"
"Danny Tartabull"
"Denny Walling"
"Dave Winfield"
"Eric Davis"
"Eddie Milner"
"Eddie Murray"
"Ed Romero"
"Frank White"
"George Bell"
"Glenn Braggs"
"George Brett"
"Greg Brock"
"Gary Carter"
"Glenn Davis"
"Gary Gaetti"
"Greg Gagne"
"George Hendrick"
"Glenn Hubbard"
"Garth Iorg"
"Gary Matthews"
"Graig Nettles"
"Gary Pettis"
"Gary Redus"
"Garry Templeton"
"Greg Walker"
"Gary Ward"
"Glenn Wilson"
"Harold Baines"
"Hubie Brooks"
"Howard Johnson"
"Hal McRae"
"Harold Reynolds"
"Harry Spilman"
"Herm Winningham"
"Jesse Barfield"
"Juan Beniquez"
"John Cangelosi"
"Jose Canseco"
"Joe Carter"
"Jack Clark"
"Jose Cruz"
"Jody Davis"
"Jim Dwyer"
"Julio Franco"
"Jim Gantner"
"Johnny Grubb"
"Jack Howell"
"John Kruk"
"Jeffrey Leonard"
"Jim Morrison"
"John Moses"
"Jerry Mumphrey"
"Jim Presley"
"Johnny Ray"
"Jeff Reed"
"Jim Rice"
"Jerry Royster"
"John Russell"
"Juan Samuel"
"John Shelby"
"Joel Skinner"
"Jim Sundberg"
"Jose Uribe"
"Joel Youngblood"
"Kevin Bass"
"Kal Daniels"
"Kirk Gibson"
"Ken Griffey"
"Keith Hernandez"
"Kent Hrbek"
"Ken Landreaux"
"Kevin McReynolds"
"Kevin Mitchell"
"Keith Moreland"
"Ken Oberkfell"
"Ken Phelps"
"Kirby Puckett"
"Kurt Stillwell"
"Leon Durham"
"Len Dykstra"
"Larry Herndon"
"Lee Lacy"
"Len Matuszek"
"Lloyd Moseby"
"Lance Parrish"
"Larry Parrish"
"Larry Sheets"
"Lou Whitaker"
"Mike Aldrete"
"Marty Barrett"
"Mike Davis"
"Mike Diaz"
"Mariano Duncan"
"Mike Easler"
"Mel Hall"
"Mike Heath"
"Mike Kingery"
"Mike LaValliere"
"Mike Marshall"
"Mike Pagliarulo"
"Mark Salas"
"Mike Schmidt"
"Mike Scioscia"
"Mickey Tettleton"
"Milt Thompson"
"Mitch Webster"
"Mookie Wilson"
"Marvell Wynne"
"Mike Young"
"Ozzie Guillen"
"Oddibe McDowell"
"Ozzie Smith"
"Ozzie Virgil"
"Phil Bradley"
"Phil Garner"
"Pete Incaviglia"
"Paul Molitor"
"Pete Rose"
"Pat Sheridan"
"Pat Tabler"
"Rafael Belliard"
"Rick Burleson"
"Randy Bush"
"Rick Cerone"
"Ron Cey"
"Rob Deer"
"Rick Dempsey"
"Ron Hassey"
"Rickey Henderson"
"Reggie Jackson"
"Ron Kittle"
"Ray Knight"
"Rick Leach"
"Rick Manning"
"Rance Mulliniks"
"Ron Oester"
"Rey Quinones"
"Rafael Ramirez"
"Ronn Reynolds"
"Ron Roenicke"
"Ryne Sandberg"
"Rafael Santana"
"Rick Schu"
"Ruben Sierra"
"Roy Smalley"
"Robby Thompson"
"Rob Wilfong"
"Robin Yount"
"Steve Balboni"
"Scott Bradley"
"Sid Bream"
"Steve Buechele"
"Shawon Dunston"
"Scott Fletcher"
"Steve Garvey"
"Steve Jeltz"
"Steve Lombardozzi"
"Spike Owen"
"Steve Sax"
"Tony Bernazard"
"Tom Brookens"
"Tom Brunansky"
"Tony Fernandez"
"Tim Flannery"
"Tom Foley"
"Tony Gwynn"
"Terry Harper"
"Tommy Herr"
"Tim Hulett"
"Terry Kennedy"
"Tito Landrum"
"Tim Laudner"
"Tom Paciorek"
"Tony Pena"
"Terry Pendleton"
"Tony Phillips"
"Terry Puhl"
"Ted Simmons"
"Tim Teufel"
"Tim Wallach"
"Vince Coleman"
"Von Hayes"
"Vance Law"
"Wally Backman"
"Wade Boggs"
"Will Clark"
"Wally Joyner"
"Willie McGee"
"Willie Randolph"
"Wayne Tolleson"
"Willie Upshaw"
"Willie Wilson"
