"1987 annual salary on opening day in thousands of  dollars"	"player's team at the end of in 1986"	"player in National League at the end of 1986"	"number of wins in 1986"	"number of losses in 1986"	"earned run average in 1986"	"number of games in 1986"	"number of innings pitched in 1986"	"number of saves in 1986"	"number of years in the major leagues"	"number of wins during his career"	"number of losses during his career"	"earned run average during his career"	"number of games during his career"	"number of innings pitched during his career"	"number of saves during his career"	"player in National League at the beginning of 1987"	"player's team at the beginning of 1987"
625	"Bal."	0	6	7	2.98	66	81.2	34	9	61	54	3.74	325	956.2	75	0	"Bal."
350	"Atl."	1	5	12	4.01	44	155	0	4	20	20	3.99	175	411	12	1	"Atl."
195	"N.Y."	1	10	7	3.88	28	141.2	0	2	20	14	3.58	49	264	0	1	"N.Y."
1200	"Chi."	0	7	2	3.82	22	113	0	8	53	58	3.65	367	793.2	75	0	"Chi."
1270	"Oak."	0	12	7	3.82	28	155.1	1	11	122	108	3.49	369	2014	9	0	"Oak."
80	"Atl."	1	7	3	2.5	61	68.1	7	1	7	3	2.5	61	68.1	7	1	"Atl."
300	"Min."	0	6	10	4.08	60	97	10	4	19	28	3.97	202	374	19	0	"Min."
80	"Cle."	0	10	10	4.95	62	112.2	7	1	10	10	4.95	62	112.2	7	0	"Cle."
75	"K.C."	0	8	9	4.61	24	121	0	1	8	9	4.61	24	121	0	0	"Sea."
930	"Chi."	0	10	14	3.54	28	165.1	0	10	101	117	4.03	300	1832.1	0	0	"Chi."
825	"Phi."	1	8	6	3.39	68	90.1	29	6	42	45	3.27	294	662.1	70	1	"Phi."
62.5	"Bal."	0	1	2	5.01	4	23.1	0	2	1	2	4.97	8	29	0	0	"Bal."
600	"K.C."	0	5	10	3.2	56	121	9	6	46	50	3.71	172	834.1	9	0	"K.C."
1150	"Min."	0	17	14	4.01	36	271.2	0	17	229	197	3.08	541	3987.1	0	0	"Min."
800	"Bal."	0	14	12	4.7	33	218.1	0	7	63	49	3.6	136	900.2	0	0	"Bal."
287.5	"Cin."	1	14	13	3.81	39	243.1	0	3	35	22	3.58	80	528	0	1	"Cin."
325	"Cle."	0	2	4	4.08	51	57.1	20	6	7	16	3.6	138	200	43	0	"Cle."
62.5	"Det."	0	3	6	3.88	34	55.2	3	14	83	68	3.51	693	1218.2	126	1	"Mon."
800	"Cal."	0	10	2	2.55	16	91.2	0	12	141	89	3.12	350	2016.2	15	0	"Cal."
160	"Cle."	0	16	12	3.57	36	252.1	0	3	22	18	3.68	54	340.1	0	0	"Cle."
150	"Chi."	0	9	14	5.1	32	176.1	0	22	323	229	3.11	705	5055	1	0	"Cle."
245	"Phi."	1	10	5	3.22	50	134.1	1	4	19	10	2.91	133	235	9	1	"Phi."
115	"Tor."	0	9	4	4.15	34	145.1	1	2	9	6	4.2	38	152	1	0	"Tor."
850	"Tor."	0	14	14	3.94	34	219.1	0	10	102	116	4.13	279	1768	0	0	"Tor."
625	"Mil."	0	5	5	2.2	59	73.2	16	8	62	44	3.8	394	689.1	77	0	"Mil."
500	"Bos."	0	24	4	2.48	33	254	0	3	40	13	3.15	69	485.2	0	0	"Bos."
115	"Tex."	0	12	14	4.23	32	202.1	0	2	13	14	4.36	37	212.2	0	0	"Tex."
218	"Chi."	0	11	11	3.88	27	162.1	0	4	33	21	3.91	90	457.2	0	1	"Phi."
600	"St.L."	1	12	13	2.9	32	220	0	4	42	39	3.19	108	700.1	0	1	"St.L."
1050	"N.Y."	1	15	6	2.81	34	237	0	4	44	24	3.12	108	726	0	1	"N.Y."
715	"Hou."	1	11	10	3.17	39	184.2	0	9	72	78	3.55	295	1240.2	17	1	"Hou."
62.5	"Chi."	0	4	5	4.7	19	105.1	0	2	7	8	4.48	31	176.2	0	0	"Chi."
415	"S.F."	1	5	7	2.99	67	84.1	4	6	22	44	4.36	221	534.1	11	1	"S.F."
725	"Chi."	1	2	8	8.59	53	58.2	2	9	46	52	3.94	447	692.2	130	1	"Chi."
605	"Bal."	0	9	12	3.62	25	154	0	5	54	40	3.65	154	855	1	1	"S.D."
290	"Atl."	1	6	6	2.98	57	99.2	3	4	16	12	3.72	176	270.2	7	1	"Atl."
110	"Hou."	1	12	5	3.25	26	144	0	3	12	6	3.56	30	154	0	1	"Hou."
155	"Bal."	0	11	13	4.58	35	202.1	0	3	19	18	4.17	71	377.1	1	0	"Bal."
1000	"Chi."	0	10	17	5.48	34	197	0	8	83	76	4.01	206	1294.2	0	0	"Chi."
85	"N.Y."	0	7	8	4.1	27	131.2	0	1	7	8	4.1	27	131.2	0	1	"Pit."
575	"S.D."	1	9	11	3.07	26	161.1	0	5	50	43	3.06	169	821.1	10	1	"S.D."
783.333	"Chi."	1	6	11	4.57	33	201	0	12	151	128	3.67	376	2496	3	0	"Oak."
165	"Tor."	0	14	6	1.72	69	157	10	2	14	9	2.45	76	195	10	0	"Tor."
150	"K.C."	0	8	4	3.13	56	109.1	8	3	13	16	3.76	103	263	10	0	"K.C."
308	"N.Y."	1	16	6	3.52	32	204.1	1	4	31	22	3.29	75	470.2	1	1	"N.Y."
625	"Bal."	0	0	0	4.5	1	4	0	2	1	1	3.32	4	19	0	0	"Bal."
750	"St.L."	1	14	10	3.25	33	230	0	13	143	116	3.62	392	2371.1	3	1	"St.L."
300	"Cin."	1	6	6	2.94	74	101	29	3	24	11	2.58	195	279.1	45	1	"Cin."
