"pitcher's name"
"Don Aase"
"Jim Acker"
"Rick Aguilera"
"Neil Allen"
"Joaquin Andujar"
"Paul Assenmacher"
"Keith Atherton"
"Scott Bailes"
"Scott Bankhead"
"Floyd Bannister"
"Steve Bedrosian"
"Eric Bell"
"Bud Black"
"Bert Blyleven"
"Mike Boddicker"
"Tom Browning"
"Ernie Camacho"
"Bill Campbell"
"John Candelaria"
"Tom Candiotti"
"Steve Carlton"
"Don Carman"
"John Cerutti"
"Jim Clancy"
"Mark Clear"
"Roger Clemens"
"Ed Correa"
"Joe Cowley"
"Danny Cox"
"Ron Darling"
"Danny Darwin"
"Joel Davis"
"Mark Davis"
"Ron Davis"
"Storm Davis"
"Jeff Dedmon"
"Jim Deshaies"
"Ken Dixon"
"Rich Dotson"
"Doug Drabek"
"Dave Dravecky"
"Dennis Eckersley"
"Mark Eichhorn"
"Steve Farr"
"Sid Fernandez"
"Mike Flanagan"
"Bob Forsch"
"John Franco"
"Gene Garber"
"Scott Garrelts"
"Dwight Gooden"
"Goose Gossage"
"Kevin Gross"
"Cecilio Guante"
"Mark Gubicza"
"Bill Gullickson"
"Jose Guzman"
"Greg Harris"
"Andy Hawkins"
"Neal Heaton"
"Tom Henke"
"Willie Hernandez"
"Orel Hershiser"
"Ted Higuera"
"Rick Honeycutt"
"Ricky Horton"
"Charlie Hough"
"Jay Howell"
"Ken Howell"
"Charles Hudson"
"Mark Huismann"
"Bruce Hurst"
"Danny Jackson"
"Bob James"
"Joe Johnson"
"Barry Jones"
"Charlie Kerfeld"
"Jimmy Key"
"Eric King"
"Bob Kipper"
"Bob Knepper"
"Mike Krukow"
"Mike LaCoss"
"Mark Langston"
"Tim Leary"
"Craig Lefferts"
"Charlie Leibrandt"
"Aurelio Lopez"
"Ed Lynch"
"Rick Mahler"
"Mike Mason"
"Greg Mathews"
"Kirk McCaskill"
"Bob McClure"
"Lance McCullers"
"Andy McGaffigan"
"Scott McGregor"
"Greg Minton"
"Dale Mohorcic"
"Donnie Moore"
"Mike Moore"
"Mike Morgan"
"Jack Morris"
"Jamie Moyer"
"Gene Nelson"
"Tom Niedenfuer"
"Joe Niekro"
"Phil Niekro"
"Juan Nieves"
"Al Nipper"
"Bob Ojeda"
"Randy O'Neal"
"Jesse Orosco"
"David Palmer"
"Dan Petry"
"Dan Plesac"
"Eric Plunk"
"Mark Portugal"
"Ted Power"
"Dan Quisenberry"
"Dennis Rasmussen"
"Shane Rawley"
"Jeff Reardon"
"Rick Reuschel"
"Rick Rhoden"
"Dave Righetti"
"Jose Rijo"
"Don Robinson"
"Jeff Robinson"
"Bruce Ruffin"
"Nolan Ryan"
"Bret Saberhagen"
"Joe Sambito"
"Scott Sanderson"
"Calvin Schiraldi"
"Dave Schmidt"
"Ken Schrom"
"Mike Scott"
"Bob Sebra"
"Jeff Sellers"
"Bob Shirley"
"Eric Show"
"Jim Slaton"
"Dave Smith"
"Lee Smith"
"Zane Smith"
"Mike Smithson"
"Mario Soto"
"Bob Stanley"
"Dave Stewart"
"Dave Stieb"
"Rick Sutcliffe"
"Don Sutton"
"Frank Tanana"
"Kent Tekulve"
"Walt Terell"
"Bob Tewksbury"
"Mark Thurmond"
"Jay Tibbs"
"Steve Trout"
"John Tudor"
"Frank Viola"
"Bob Walk"
"Bill Wegman"
"Mitch Williams"
"Jim Winn"
"Bobby Witt"
"Todd Worrell"
"Floyd Youmans"
"Curt Young"
"Matt Young"
"Ron Robinson"
"Fernando Valenzuela"
"Bob Welch"
"Brian Fisher"
"Chris Codiroli"
